molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"6mu3_ligand",14,0,0,0,0,24,4,-2,666.583,7.844,873.179,304.403,568.776,0.000,0.000,1729.002,14.000,35.700,0.0355900,0.1529780,0.7978579,47.630,21.376,57.195,56.063,-8.160,0.166,1.154,-4.803,0.040,-6.840,0.009,-9.698,10.665,-1.232,13,-2.882,1,0.000,0.000,0.000,347.683,21,3,24,0,24,20,45,2,0.000
"6msy_ligand",14,0,0,0,0,24,4,-2,666.583,5.172,863.549,306.014,557.535,0.000,0.000,1715.427,14.000,35.700,0.0155950,0.1546840,0.8025271,47.087,21.146,56.694,55.964,-8.095,0.178,1.154,-4.727,0.051,-6.654,0.011,-9.491,10.616,-1.330,13,-2.848,1,0.000,0.000,0.000,347.949,21,3,24,0,24,20,45,2,0.000
"6mjf_ligand",3,1,0,1,0,10,0,-2,384.409,6.276,614.180,136.743,345.716,96.438,35.282,1088.248,7.000,12.600,0.0361920,0.0542780,0.8330829,31.898,13.270,28.644,24.674,-3.463,-1.844,-1.610,-3.611,0.330,-2.875,0.187,-8.654,8.578,0.329,7,-1.118,1,0.000,0.000,0.000,188.972,11,2,14,0,14,4,26,2,0.000
"6mj7_ligand",3,1,1,1,0,7,0,-2,174.202,5.125,380.815,102.888,277.927,0.000,0.000,605.067,7.000,5.000,0.0434176,0.0347380,0.9084888,13.566,7.448,17.770,16.159,-3.560,0.218,0.174,-1.931,1.448,-1.705,0.594,-10.095,8.051,-1.243,5,-1.208,1,0.000,0.000,0.000,141.638,6,1,0,0,0,0,12,1,0.000
"6ma5_ligand",0,0,0,1,1,10,0,-2,541.593,6.612,736.151,119.913,249.009,330.440,36.788,1428.544,2.250,12.000,0.0306036,0.0244515,0.8332862,47.751,16.272,26.923,19.541,1.875,-3.426,-5.978,-2.624,8.139,-2.340,7.582,-3.985,9.479,1.098,6,-0.707,2,41.261,0.000,16.029,165.589,10,1,21,0,21,0,37,1,0.021
"6ma4_ligand",1,0,0,2,1,15,0,-2,627.683,6.576,759.050,159.066,287.110,275.424,37.450,1608.581,3.250,14.000,0.0268845,0.0332506,0.8746948,51.220,17.797,30.831,21.426,2.356,-2.653,-6.844,0.116,0.987,-2.750,0.897,-4.401,9.393,1.006,7,-0.896,1,14.723,0.000,10.802,207.508,12,2,21,0,21,0,43,2,0.055
"6ma3_ligand",2,0,0,2,1,14,0,-2,613.656,4.553,792.873,120.308,271.698,359.792,41.075,1600.861,3.250,14.000,0.0129489,0.0318321,0.8347001,52.359,18.365,30.966,22.217,2.462,-3.322,-6.569,-0.933,1.376,-2.779,1.351,-3.915,9.149,1.028,7,-0.938,1,17.922,0.000,11.064,208.988,12,2,21,0,21,0,42,2,0.036
"6ma2_ligand",0,0,0,1,1,10,0,-2,541.593,7.516,711.081,122.867,228.248,336.145,23.821,1403.541,2.250,12.000,0.0402453,0.0253136,0.8525687,46.805,15.824,26.636,18.825,1.851,-3.226,-5.978,-2.339,14.669,-2.074,10.509,-3.582,9.299,1.113,6,-0.743,2,45.700,0.000,8.619,159.536,10,1,21,0,21,0,37,1,0.084
"6iiu_ligand",0,0,0,1,0,6,0,-2,416.466,3.208,666.712,158.919,181.231,278.044,48.518,1213.308,2.000,6.500,0.0084817,0.0137876,0.8251647,41.205,12.890,20.646,12.473,3.829,-5.258,-5.912,-3.880,47.961,-1.454,43.527,-3.304,8.392,0.923,3,0.214,3,79.450,46.806,0.000,100.834,6,0,19,0,19,4,29,0,0.001
"6htg_ligand",0,0,0,0,0,4,1,-2,290.705,7.687,525.124,0.000,171.434,294.947,58.743,877.422,3.000,6.700,0.0673532,0.0220990,0.8440638,29.209,10.655,18.890,14.287,1.220,-3.269,-3.219,-5.462,234.527,-1.138,216.471,-3.256,9.206,0.784,1,-0.393,3,76.511,0.000,0.000,98.556,5,0,12,0,12,0,20,0,0.087
"6ht1_ligand",0,1,0,0,0,4,0,1,388.471,7.225,734.793,339.746,113.908,281.139,0.000,1283.757,2.000,7.000,0.0406611,0.0134725,0.7774193,45.338,13.500,22.115,13.117,3.299,-5.149,-4.360,-7.200,205.403,-0.536,98.910,-4.307,8.467,0.639,2,0.517,3,87.654,0.000,0.000,85.282,7,0,23,0,23,4,29,0,0.000
"6hsh_ligand",0,1,0,0,0,6,1,-2,394.475,7.037,734.049,299.851,165.387,268.810,0.000,1293.270,3.000,8.200,0.0382924,0.0193486,0.7820475,44.317,14.077,24.020,15.586,2.341,-4.367,-3.799,-7.067,66.748,-1.202,29.348,-5.107,8.214,0.678,4,0.209,3,73.305,0.000,0.000,103.227,8,0,21,0,21,5,29,0,0.000
"6hrq_ligand",1,0,0,0,0,5,1,-2,326.372,8.716,616.634,33.339,180.600,371.024,31.671,1037.805,2.000,7.200,0.0732007,0.0165128,0.8039238,35.712,12.357,19.955,13.885,1.997,-4.304,-4.037,-6.474,191.987,-1.523,123.922,-3.061,9.541,1.309,0,-0.161,3,79.507,0.000,0.000,97.512,6,0,17,0,17,0,23,0,0.014
"6hqy_ligand",0,0,0,0,0,5,0,-1,294.309,6.407,536.314,131.626,121.286,283.402,0.000,940.480,0.000,4.750,0.0436439,0.0000000,0.8655907,30.980,9.841,13.258,7.338,2.610,-3.079,-4.019,-5.058,701.038,-0.817,336.989,-2.276,8.545,1.579,2,-0.135,3,93.161,0.000,0.000,72.341,5,0,15,0,15,0,22,0,1.298
"6hpw_ligand",0,1,0,0,0,4,0,1,474.343,2.617,720.785,329.087,84.774,233.978,72.945,1253.218,2.000,6.000,0.0054636,0.0117723,0.7799093,43.666,13.170,20.652,11.604,3.910,-5.555,-6.277,-6.935,388.048,-0.029,493.690,-3.936,8.453,1.009,3,0.622,3,96.176,0.000,0.000,67.891,5,0,21,0,21,5,27,0,0.000
"6hmg_ligand",2,0,0,0,0,10,2,-2,321.327,3.857,543.853,265.619,278.234,0.000,0.000,990.370,7.000,13.600,0.0150220,0.0661617,0.8835181,27.060,11.091,26.671,24.363,-1.957,-1.577,-0.781,-3.417,22.772,-2.415,8.297,-5.687,9.781,-1.747,6,-0.993,2,26.823,0.000,0.000,160.437,9,1,13,3,10,11,22,1,0.018
"6hly_ligand",2,0,0,1,1,12,0,-2,293.273,4.254,518.555,207.241,311.313,0.000,0.000,893.734,6.000,13.500,0.0202500,0.0637698,0.8653185,21.908,10.089,23.445,25.261,-2.684,0.239,-0.035,-0.529,1.421,-2.932,1.096,-6.105,9.725,-0.412,7,-1.733,1,1.006,0.000,37.010,179.584,9,1,5,0,5,3,20,2,0.399
"6hlx_ligand",2,0,0,1,1,12,0,-2,293.273,4.254,518.555,207.241,311.313,0.000,0.000,893.734,6.000,13.500,0.0202500,0.0637698,0.8653185,21.908,10.089,23.445,25.261,-2.684,0.239,-0.035,-0.529,1.421,-2.932,1.096,-6.105,9.725,-0.412,7,-1.733,1,1.006,0.000,37.010,179.584,9,1,5,0,5,3,20,2,0.399
"6hke_ligand",3,0,0,2,0,4,0,-2,134.088,4.995,301.642,53.998,247.644,0.000,0.000,446.247,2.000,4.700,0.0559179,0.0220354,0.9362468,9.136,4.645,8.959,8.806,-0.470,-0.211,-0.545,1.051,2.849,-1.561,1.419,-5.700,11.218,-0.478,2,-1.250,1,32.332,0.000,0.000,120.482,5,0,0,0,0,0,9,1,0.161
"6hh5_ligand",6,1,0,2,0,14,3,-2,526.336,6.826,746.748,198.146,440.173,101.067,7.363,1355.240,6.000,20.300,0.0343826,0.0665882,0.7931129,40.059,16.110,34.301,30.895,-4.865,-1.184,-1.489,-2.473,0.011,-4.529,0.004,-9.994,8.446,0.415,5,-2.015,1,0.000,0.000,0.000,260.433,17,3,19,0,19,8,34,1,0.000
"6hh3_ligand",8,1,0,2,0,15,3,-2,542.335,7.646,736.734,160.391,463.497,102.352,10.494,1362.996,7.000,22.000,0.0428917,0.0790062,0.8069577,39.739,16.556,36.843,33.958,-5.539,-0.794,-1.150,-2.255,0.006,-4.662,0.002,-10.324,8.603,0.354,6,-2.136,1,0.000,0.000,0.000,276.426,18,3,19,0,19,8,35,1,0.000
"6hd6_ligand",0,1,0,0,0,5,0,2,380.366,5.658,645.128,214.335,45.504,263.433,121.856,1128.242,1.000,6.200,0.0283711,0.0096105,0.8124330,38.304,10.300,17.911,9.884,3.631,-4.242,-4.240,-6.549,914.705,0.500,2311.563,-3.013,8.927,0.581,4,0.255,3,100.000,121.856,0.000,57.087,5,0,18,0,18,4,27,0,0.021
"6hai_ligand",13,0,0,1,0,16,1,-2,843.802,10.536,1301.395,288.031,464.889,548.475,0.000,2410.262,5.250,16.000,0.0460575,0.0281702,0.6680344,85.269,30.795,47.146,29.664,4.843,-10.604,-11.524,-7.712,0.098,-7.346,0.029,-6.619,9.126,1.030,8,0.746,1,0.000,0.000,0.000,319.815,18,3,35,0,35,2,62,3,0.000
"6h38_ligand",0,1,0,0,0,5,0,-2,377.433,5.803,653.429,158.896,180.974,264.929,48.630,1141.893,2.000,9.500,0.0294947,0.0205608,0.8085686,38.864,12.126,21.657,15.525,1.147,-3.056,-2.915,-6.619,47.492,-1.065,37.515,-5.504,9.647,1.082,2,-0.298,3,63.669,46.816,0.000,99.227,6,0,18,0,18,4,26,0,0.001
"6h37_ligand",0,0,0,0,0,4,0,-2,360.427,8.577,598.421,127.032,196.848,274.541,0.000,1074.726,3.000,8.250,0.0684488,0.0238785,0.8479233,36.910,12.216,22.301,16.003,1.408,-3.772,-4.010,-5.302,134.644,-1.503,56.638,-3.796,9.835,1.158,2,-0.157,3,73.295,0.000,0.000,112.061,6,0,18,0,18,5,25,0,0.010
"6h36_ligand",0,0,0,0,0,3,0,-2,344.428,10.305,609.548,137.345,175.019,295.396,1.787,1072.943,2.000,7.500,0.0989683,0.0174008,0.8315248,37.680,11.948,21.039,14.041,1.956,-4.297,-4.007,-5.667,216.868,-1.300,96.972,-3.416,9.836,1.067,2,-0.016,3,80.212,0.000,0.000,92.790,5,0,18,0,18,5,24,0,0.007
"6h34_ligand",0,1,0,0,0,5,0,-2,377.433,5.868,653.660,159.171,180.999,264.867,48.623,1142.087,2.000,9.500,0.0301503,0.0205536,0.8083747,38.871,12.127,21.668,15.526,1.147,-3.060,-2.915,-6.622,47.467,-1.067,37.491,-5.505,9.649,1.087,2,-0.298,3,63.668,46.810,0.000,99.167,6,0,18,0,18,4,26,0,0.001
"6h33_ligand",0,0,0,0,0,4,0,-2,360.427,8.597,599.159,127.303,196.679,275.088,0.090,1074.587,3.000,8.250,0.0687733,0.0238491,0.8468053,36.910,12.216,22.302,16.008,1.407,-3.783,-4.010,-5.323,135.144,-1.506,56.929,-3.791,9.829,1.158,2,-0.159,3,73.324,0.000,0.000,112.083,6,0,18,0,18,5,25,0,0.010
"6h29_ligand",0,0,0,0,0,2,0,-1,151.165,4.274,377.399,35.513,137.638,204.247,0.000,576.640,2.000,2.500,0.0316763,0.0093682,0.8877716,17.589,6.261,10.156,7.903,0.669,-2.030,-1.645,-4.322,490.543,-0.721,229.091,-3.145,9.841,-0.024,2,-0.425,3,79.021,0.000,0.000,65.295,3,0,6,0,6,0,11,0,1.470
"6h8s_ligand",0,1,1,0,0,2,0,0,286.299,9.913,523.404,185.420,162.063,58.629,117.292,876.021,5.000,3.500,0.1121683,0.0149526,0.8459360,28.180,8.197,20.258,12.850,1.337,-2.756,-2.517,-5.031,71.773,-0.381,139.375,-8.233,8.658,0.528,5,-0.136,3,67.992,117.292,0.000,80.699,4,0,12,0,12,5,20,0,0.000
"6h5x_ligand",0,0,0,1,2,6,1,-1,408.530,7.013,674.548,267.403,133.765,189.039,84.341,1209.834,2.050,7.750,0.0406473,0.0164500,0.8140223,40.216,12.801,21.240,16.149,2.411,-3.692,-3.317,-0.887,60.182,-0.937,209.668,-2.743,9.399,0.385,5,-0.668,3,72.909,0.000,44.164,101.227,6,0,17,0,12,8,27,0,0.150
"6h2z_ligand",0,0,0,0,0,3,0,-2,344.428,10.314,609.926,137.329,175.054,295.742,1.801,1073.368,2.000,7.500,0.0991135,0.0173900,0.8312279,37.700,11.954,21.048,14.045,1.959,-4.303,-4.007,-5.673,216.700,-1.302,96.908,-3.416,9.834,1.068,2,-0.015,3,80.220,0.000,0.000,92.801,5,0,18,0,18,5,24,0,0.007
"6h2t_ligand",2,1,0,2,0,5,0,-2,147.130,3.796,337.449,80.652,256.798,0.000,0.000,512.547,4.000,5.000,0.0281128,0.0296341,0.9178660,11.148,5.705,12.329,11.958,-3.030,0.019,0.326,0.028,0.582,-1.372,0.282,-7.835,9.892,-0.637,4,-1.220,1,4.993,0.000,0.000,124.493,5,0,0,0,0,0,10,1,0.002
"6h1u_ligand",3,1,0,2,0,4,0,-2,133.104,4.331,304.078,51.280,252.798,0.000,0.000,453.826,3.000,4.000,0.0413252,0.0227843,0.9392321,9.440,5.030,9.971,9.622,-3.881,-0.690,0.345,0.374,0.635,-1.190,0.310,-7.857,10.008,-0.463,4,-1.193,1,0.692,0.000,0.000,124.015,5,0,0,0,0,0,9,1,0.003
"6gzm_ligand",0,1,0,0,0,5,0,0,344.434,6.504,655.248,414.505,104.069,104.127,32.547,1151.443,3.000,4.500,0.0367388,0.0118951,0.8108134,37.711,10.848,19.397,10.447,3.242,-4.371,-3.625,-5.816,254.633,-0.315,188.098,-4.653,8.767,0.592,3,0.506,3,88.992,32.547,0.000,75.172,6,0,20,3,17,9,25,0,0.000
"6gzd_ligand",0,1,0,0,0,5,0,0,344.434,6.504,655.248,414.505,104.069,104.127,32.547,1151.443,3.000,4.500,0.0367388,0.0118951,0.8108134,37.711,10.848,19.397,10.447,3.242,-4.371,-3.625,-5.816,254.633,-0.315,188.098,-4.653,8.767,0.592,3,0.506,3,88.992,32.547,0.000,75.172,6,0,20,3,17,9,25,0,0.000
"6gwr_ligand",3,2,0,0,0,7,0,1,560.621,2.355,987.318,411.979,111.076,346.740,117.523,1764.194,1.000,9.500,0.0031428,0.0096220,0.7151637,63.266,18.118,28.132,14.528,5.337,-7.447,-6.045,-9.247,54.496,-0.221,114.830,-5.798,9.030,1.201,8,1.134,1,63.354,117.523,0.000,75.927,7,2,27,0,27,4,41,2,0.000
"6gw4_ligand",0,0,0,1,1,8,0,-2,449.629,7.999,756.046,527.110,228.936,0.000,0.000,1427.883,3.250,7.150,0.0448090,0.0170490,0.8111080,45.853,13.829,24.438,15.244,3.216,-4.953,-4.616,-1.407,10.034,-2.239,7.656,-4.971,10.022,-0.802,4,0.167,2,63.699,0.000,28.519,129.086,6,0,17,0,17,17,32,1,0.000
"6gvz_ligand",0,0,0,1,1,8,0,-2,449.629,7.999,756.046,527.110,228.936,0.000,0.000,1427.883,3.250,7.150,0.0448090,0.0170490,0.8111080,45.853,13.829,24.438,15.244,3.216,-4.953,-4.616,-1.407,10.034,-2.239,7.656,-4.971,10.022,-0.802,4,0.167,2,63.699,0.000,28.519,129.086,6,0,17,0,17,17,32,1,0.000
"6guk_ligand",0,1,0,0,0,6,0,0,385.898,3.693,688.269,325.111,84.681,208.982,69.495,1215.701,4.000,5.500,0.0112154,0.0159821,0.8003716,40.642,13.008,22.266,13.350,3.454,-4.478,-4.414,-6.485,388.840,-0.110,473.712,-3.831,7.945,0.225,3,0.375,3,93.521,0.000,0.000,78.532,7,0,21,0,21,6,27,0,0.002
"6guh_ligand",0,0,0,0,0,4,0,-2,371.456,7.301,629.756,242.097,143.540,243.008,1.111,1145.675,1.000,8.000,0.0465325,0.0127033,0.8408152,39.448,11.825,19.534,12.327,2.432,-4.184,-4.592,-5.267,431.229,-1.028,202.116,-2.925,8.906,1.005,2,0.000,3,88.344,0.000,0.000,82.977,7,0,17,0,17,0,26,0,0.029
"6gue_ligand",0,0,0,0,0,4,0,-2,371.456,7.301,629.756,242.097,143.540,243.008,1.111,1145.725,1.000,8.000,0.0465296,0.0127033,0.8408396,39.450,11.825,19.534,12.327,2.433,-4.184,-4.592,-5.266,431.229,-1.028,202.116,-2.925,8.906,1.005,2,0.000,3,88.346,0.000,0.000,82.977,7,0,17,0,17,0,26,0,0.029
"6guc_ligand",0,0,0,0,0,3,0,0,241.249,4.041,469.719,102.652,119.049,248.018,0.000,774.911,2.000,5.250,0.0210694,0.0158065,0.8686172,25.300,8.399,14.110,10.785,1.362,-2.658,-2.943,-4.841,736.143,-0.669,355.264,-2.552,8.163,0.673,1,-0.348,3,86.232,0.000,0.000,74.476,5,0,14,0,14,0,18,0,1.488
"6got_ligand",0,0,0,0,0,6,0,-2,293.398,5.549,564.053,61.324,141.048,326.820,34.861,942.529,2.000,5.000,0.0326718,0.0125362,0.8242171,30.835,10.861,16.274,10.802,2.505,-3.913,-3.883,-5.935,455.348,-1.097,328.117,-2.392,9.326,1.241,1,-0.064,3,89.192,0.000,0.000,65.653,3,0,12,0,12,0,19,0,0.145
"6gon_ligand",5,0,0,1,0,6,2,0,414.071,3.078,465.633,0.276,87.241,0.000,378.116,786.574,1.000,2.000,0.0120416,0.0042952,0.8850102,21.472,3.973,10.699,3.676,4.698,-4.693,-6.851,-1.585,373.417,0.387,10000.000,-2.551,12.252,1.622,0,-0.048,3,100.000,378.116,0.000,45.851,2,0,0,0,0,0,25,0,0.024
"6gnw_ligand",1,0,0,1,0,3,0,-1,255.485,5.365,428.113,36.658,113.320,81.384,196.751,682.074,1.000,2.750,0.0422058,0.0064235,0.8753068,19.994,7.421,10.422,5.654,2.863,-2.770,-3.641,-2.130,211.294,-0.121,1402.411,-3.033,9.332,0.652,2,-0.332,3,85.322,0.000,0.000,58.218,3,0,6,0,6,0,14,0,0.075
"6gnr_ligand",0,0,0,1,0,3,0,-1,262.695,6.802,477.867,62.698,94.005,259.708,61.456,806.427,1.000,2.500,0.0573712,0.0052316,0.8768015,26.673,8.883,12.377,6.562,4.754,-3.985,-4.239,-2.957,322.144,-0.282,401.518,-2.049,8.362,0.905,4,0.044,3,100.000,0.000,0.000,64.120,4,0,12,0,12,0,18,0,0.320
"6gnp_ligand",2,0,0,0,0,0,2,1,198.436,5.427,352.323,21.719,96.014,34.721,199.869,536.916,0.000,3.000,0.0548509,0.0000000,0.9067644,15.665,5.471,7.779,4.481,1.476,-2.194,-2.190,-3.206,1217.313,0.275,7612.757,-3.167,10.344,1.647,1,-0.626,3,90.808,0.000,0.000,51.473,2,0,6,0,6,1,10,0,0.864
"6gnm_ligand",0,0,0,0,0,6,0,-2,246.219,6.842,457.213,0.000,224.266,232.946,0.000,757.407,2.000,3.000,0.0618150,0.0092794,0.8788870,22.529,8.923,12.905,8.490,1.308,-2.458,-3.640,-4.603,73.992,-1.734,29.653,-4.256,9.143,0.302,4,-0.208,3,68.058,0.000,0.000,110.088,5,0,12,0,12,0,18,0,0.048
"6glb_ligand",1,0,0,0,0,3,0,-2,359.430,9.601,645.574,271.025,150.473,224.075,0.000,1144.613,1.000,4.500,0.0805371,0.0069705,0.8197066,39.867,11.710,18.208,9.056,3.801,-6.901,-6.710,-5.518,370.650,-1.110,169.220,-3.215,8.576,0.494,4,0.727,1,95.183,0.000,0.000,76.042,6,0,23,0,23,6,27,1,0.000
"6gla_ligand",1,0,0,0,0,3,0,-2,357.414,10.560,625.820,214.377,150.700,260.743,0.000,1115.954,1.000,4.500,0.0999348,0.0071906,0.8314063,39.070,11.704,18.292,9.259,3.665,-6.549,-6.669,-5.503,368.819,-1.071,168.317,-3.090,8.612,1.077,2,0.654,1,94.349,0.000,0.000,76.456,6,0,23,0,23,6,27,1,0.000
"6gl9_ligand",1,0,0,0,0,3,0,-1,367.452,5.724,629.660,179.461,146.378,303.821,0.000,1154.534,1.000,4.000,0.0283785,0.0063526,0.8452722,41.026,12.353,17.838,9.040,4.204,-6.800,-7.132,-5.485,405.317,-0.983,186.390,-2.859,8.558,0.980,1,0.863,1,100.000,0.000,0.000,67.524,5,0,24,0,24,6,28,1,0.000
"6gl8_ligand",3,1,0,0,0,7,1,1,710.828,5.895,925.910,365.085,88.787,472.038,0.000,1954.255,1.000,11.950,0.0177821,0.0129062,0.8164268,72.069,20.079,32.961,17.453,5.909,-6.036,-9.764,-7.480,355.497,-0.348,178.952,-2.884,8.794,0.380,7,1.172,2,81.282,0.000,0.000,104.863,10,2,46,0,46,12,53,2,0.001
"6gjm_ligand",0,0,0,0,1,8,1,-2,293.365,4.141,636.986,351.073,146.330,139.584,0.000,1074.533,1.750,4.250,0.0159623,0.0088263,0.7964919,33.045,10.572,15.456,10.196,2.627,-4.039,-3.160,-4.116,246.358,-1.456,186.605,-2.957,8.052,-0.553,3,-0.001,3,85.134,0.000,27.222,99.093,6,0,6,0,6,0,21,0,0.030
"6gjj_ligand",0,0,0,0,1,7,1,-2,279.338,10.032,591.049,311.489,142.482,137.078,0.000,1006.721,1.750,4.250,0.0999606,0.0095123,0.8218907,30.949,9.870,15.966,9.877,2.239,-3.572,-2.886,-3.693,294.831,-1.265,204.341,-2.990,8.329,-0.253,3,-0.126,3,84.257,0.000,22.006,97.148,6,0,6,0,6,0,20,0,0.076
"6gji_ligand",0,0,0,0,1,8,1,-2,346.388,10.226,683.970,341.473,184.548,157.949,0.000,1179.123,1.750,6.750,0.0886926,0.0130553,0.7891644,37.406,12.017,19.542,12.863,2.037,-4.174,-3.589,-4.322,115.004,-1.894,75.716,-3.596,8.178,0.073,4,-0.183,3,75.754,0.000,23.256,132.398,9,0,11,0,11,0,25,0,0.006
"6ghj_ligand",3,1,0,1,3,11,0,-2,364.400,6.044,610.985,186.882,294.579,129.523,0.000,1128.239,5.500,9.000,0.0323810,0.0345457,0.8578318,33.172,12.968,24.607,24.192,-3.493,0.534,-0.314,0.754,0.250,-2.370,0.401,-7.499,9.413,-0.289,8,-1.625,1,0.000,0.000,76.003,191.948,9,1,6,0,6,0,26,2,0.040
"6ghh_ligand",1,0,0,1,0,9,0,-1,210.316,6.527,558.513,428.006,99.922,30.585,0.000,912.795,1.000,2.000,0.0466704,0.0035809,0.8147932,24.889,7.680,10.317,3.400,3.995,-4.245,-2.639,-2.867,283.100,-0.982,160.842,-2.389,9.805,-0.783,5,0.160,3,94.223,0.000,0.000,49.517,2,0,0,0,0,0,15,0,0.049
